التاريخ,البند الرئيسي,تفاصيل,أونلاين / مصنع,المبلغ (جم),طريقة الدفع,ملاحظات,,,,,,,,,,,,,,,,,,,
25/12/25,قماش,٥٠٥٧٠ الف من حساب ميلتون,مصنع,EGP 50٬570٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/25,موديل وبلوجر,2000 بلوجر اوفر سايز,أونلاين,EGP 2٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/25,مرتبات مصنع,12345 مرتبات اسبوع,مصنع,EGP 12٬345٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/25,صيانه مصنع,٦٠٠ لمبات للمصنع,مصنع,EGP 600٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/25,حساب ريهام,٥٠٠٠ الف ريهام,مصنع,EGP 5٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/25,مرتبات اونلاين,١٠ الف اسامة من شهر جديد,أونلاين,EGP 10٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,قماش,٥٠ الف من حساب بشار,مصنع,EGP 50٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,إعلانات عايدة,٢٤ الف عايدة,أونلاين,EGP 24٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,إعلانات اوفر,١٠ الف اوفر سايز,أونلاين,EGP 10٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,مستلزمات تصنع,١٦٠٠ كينار,مصنع,EGP 1٬600٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,قماش,٤٧٨٠ قماش شال,مصنع,EGP 4٬780٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,سلف اونلاين,٤٠٠ سلفه شهد,أونلاين,EGP 400٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,سلف مصنع,100 سلفه هايدى,مصنع,EGP 100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,انتقالات,٤٥ اسكوتر,مصنع,EGP 45٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,اكراميات,400 مشال,مصنع,EGP 400٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,سلف اونلاين,رانيا سلفه ٢٠٠,أونلاين,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,مستلزمات اونلاين,و٢٠٠ قلم ماركر,أونلاين,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/28,إعلانات اوفر,٢٠٠٠ اوفر سايز اعلانات,أونلاين,EGP 2٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/28,مستلزمات تصنع,900 خيط,مصنع,EGP 900٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/28,سلف مصنع,٢٠٠٠ سلفه محمود,مصنع,EGP 2٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/28,سلف مصنع,١٠٠ سلفه سماح,مصنع,EGP 100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/28,سلف اونلاين,١٠٠ سلفه شهد,أونلاين,EGP 100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/28,سلف مصنع,١٠٠ هيدي,مصنع,EGP 100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/29,إعلانات عايدة,٢٥ الف عايدة,أونلاين,EGP 25٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/29,إعلانات اوفر,١٠ الف اوفر سايز,أونلاين,EGP 10٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/29,اكراميات,٢٠٠ مشال,مصنع,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/29,إعلانات عايدة,٢٣٥٠٠ عايدة,أونلاين,EGP 23٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/29,إعلانات اوفر,١٠٠٠٠ اوفر سايز,أونلاين,EGP 10٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/29,مستلزمات اونلاين,٢٠٠ شولة,أونلاين,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/29,سلف مصنع,٥٠٠ ام منار,مصنع,EGP 500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/29,سلف مصنع,٥٠٠ ام هاجر,مصنع,EGP 500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/29,سلف مصنع,٥٠٠ ام اسلام,مصنع,EGP 500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/29,سلف مصنع,٥٠٠ يوسف,مصنع,EGP 500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/29,انتقالات,٥٠ اسكوتر,مصنع,EGP 50٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/30,سلف مصنع,١٠٠ سلفه ياسمين,مصنع,EGP 100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/30,سلف مصنع,١٠٠ سلفه محمود,مصنع,EGP 100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/30,قماش,٥٠٠٠٠ الف من حساب بشار باقي ٥٦ الف,مصنع,EGP 50٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/30,قماش,٦٠٢٥٠ من حساب سمر ميلتون,مصنع,EGP 60٬250٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/30,إعلانات عايدة,٢٣٥٠٠ عايدة اعلانات,أونلاين,EGP 23٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/30,إعلانات اوفر,٣٠٠٠ اوفر سايز,أونلاين,EGP 3٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/30,سلف اونلاين,٥٠٠ شهد,أونلاين,EGP 500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/30,سلف مصنع,٤٠٠ ياسمين,مصنع,EGP 400٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/31,مستلزمات تصنع,٦٠٠ خيط,مصنع,EGP 600٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/31,مستلزمات تصنع,٥٠٠ استيك و موذيل زيت,مصنع,EGP 500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/31,مستلزمات تصنع,٣٤٠ زراير,مصنع,EGP 340٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/31,سلف اونلاين,٢٢٠٠ ج رنيا,أونلاين,EGP 2٬200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/01,إعلانات عايدة,٢٢ الف اعلانات عايدة امبارح,أونلاين,EGP 22٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/01,إعلانات اوفر,٦ اوفر سايز امبارح,أونلاين,EGP 6٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/01,إعلانات عايدة,٣٩ الف اعلانات عايدة النهاردة,أونلاين,EGP 39٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/01,إعلانات اوفر,١٦ الف أوفر سايز,أونلاين,EGP 16٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/01,اكراميات,٢٠٠ مشال,مصنع,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/01,مستلزمات اونلاين,٥٨٠ فليرات,أونلاين,EGP 580٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/01,مستلزمات اونلاين,٥٦٠ اكياس,أونلاين,EGP 560٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/01,مرتبات مصنع,12985 مرتبات اسبوع,مصنع,EGP 12٬985٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/01,مرتبات اونلاين,٦٤٠ باقي مرتب رانيا,أونلاين,EGP 640٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/01,مستلزمات تصنع,٦٠ اظرف,مصنع,EGP 60٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/01,مرتبات مصنع,20770 مرتبات شهر,مصنع,EGP 20٬770٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/01,ايجار اونلاين,١١ الف ايجار مكتب,أونلاين,EGP 11٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/01,ايجار مصنع,١٥ الف ايجار مصنع,مصنع,EGP 15٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/01,مرافق مصنع,1500 كهرباء الصيانة زبالة,مصنع,EGP 1٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/01,مرافق اونلاين,1500 كهرباء الصيانة زبالة,أونلاين,EGP 1٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/02,حساب ريهام,20 الف ريهام,مصنع,EGP 20٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/02,مرتبات اونلاين,١٠ الف اسامة باقي ١٠,أونلاين,EGP 10٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/03,اكراميات,٢٠٠ مشال,مصنع,EGP 300٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/03,مستلزمات اونلاين,١٨٠ دراى كلين,أونلاين,EGP 180٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/03,مستلزمات تصنع,١٠٠ شولاه للمصنع,مصنع,EGP 100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/03,مرتجعات,300 مرتجع,أونلاين,EGP 300٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/03,إعلانات عايدة,٢١٥٠٠ عايدة,أونلاين,EGP 21٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/03,إعلانات اوفر,٨ الف اوفر,أونلاين,EGP 8٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/03,إعلانات عايدة,٣ الف عايدة,أونلاين,EGP 3٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/03,اكراميات,٢٠٠ اكرامية,مصنع,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/04,قماش,٣٠ الف من حساب سمر ميلتون,مصنع,EGP 30٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/04,إعلانات عايدة,١٨٣٠٠ عايدة,أونلاين,EGP 18٬300٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/04,إعلانات اوفر,٨ الف اوفر سايز,أونلاين,EGP 8٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/04,مستلزمات اونلاين,٩٠٠ فليرات,أونلاين,EGP 900٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/04,مستلزمات اونلاين,٦٦٠ اكياس,أونلاين,EGP 660٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/04,مرتجعات,مرتجع 2000,أونلاين,EGP 2٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/04,اكراميات,400 مشال,مصنع,EGP 400٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/04,انتقالات,٦٠ اسكوتر,مصنع,EGP 60٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/05,مستلزمات اونلاين,٦٠٠ ادوات تصوير,أونلاين,EGP 600٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/05,إعلانات عايدة,٢٤٥٠٠ عايدة,أونلاين,EGP 24٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/05,إعلانات اوفر,٨٠٠٠ اوفر سايز,أونلاين,EGP 8٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/05,مرتبات اونلاين,١٨ الف مرتبات اوفر سايز,أونلاين,EGP 18٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/05,مرتجعات,١١٨٠ مرتجع,أونلاين,EGP 1٬180٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/05,اشتراكات اونلان,١.٥ من حساب ويب سايت عايدة,أونلاين,EGP 1٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/05,مرتبات اونلاين,١٦ الف من حساب احمد و مريم ويب,أونلاين,EGP 16٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/05,مرتبات اونلاين,٢٥ الف مرتبات عايدة,أونلاين,EGP 25٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/05,سلف مصنع,٥٠٠ ام هاجر,مصنع,EGP 500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/05,سلف مصنع,١٠٠٠ ام اسلام,مصنع,EGP 1٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/06,إعلانات عايدة,٨٠١٠ اعلانات عايدة,أونلاين,EGP 8٬010٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/06,مستلزمات تصنع,375 سوست,مصنع,EGP 375٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/06,مستلزمات تصنع,185 كلف,مصنع,EGP 185٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/06,اكراميات,400 مشال,مصنع,EGP 400٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/06,مستلزمات اونلاين,٦٠ سلوتيب,أونلاين,EGP 60٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/06,سلف مصنع,200 سلفه هايدى,مصنع,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/07,إعلانات عايدة,٣٢ عايدة,أونلاين,EGP 32٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/07,إعلانات اوفر,٧ اوفر سايز,أونلاين,EGP 7٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/07,سلف اونلاين,١٠٠ سلفه شهد,أونلاين,EGP 100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/07,إعلانات عايدة,٢٥ الف عايدة اعلانات,أونلاين,EGP 25٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/07,إعلانات اوفر,٦ الف اوفر سايز,أونلاين,EGP 6٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/07,حساب ريهام,٢٠ الف من حساب ريهام,مصنع,EGP 20٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/08,مستلزمات تصنع,٦١٠٠ كلفة,مصنع,EGP 6٬100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/08,إعلانات عايدة,٤٦ الف اعلانات عايدة,أونلاين,EGP 46٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/08,إعلانات اوفر,١٢ الف اوفر سايز,أونلاين,EGP 12٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/08,مرتبات مصنع,14385 مرتبات اسبوع,مصنع,EGP 14٬385٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/08,اكراميات,٢٠٠ مشال,مصنع,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/09,مرتبات اونلاين,١٠ الف اسامة,أونلاين,EGP 10٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/10,سلف مصنع,٢٠٠ سلفه محمود,مصنع,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/10,إعلانات عايدة,١٦٥٠٠ عايدة,أونلاين,EGP 16٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/10,إعلانات اوفر,٦٧٠٠ اوقر,أونلاين,EGP 6٬700٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/10,مستلزمات اونلاين,400 فليرات,أونلاين,EGP 400٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/10,سلف مصنع,٥٠٠ ام اسلام,مصنع,EGP 500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/10,سلف اونلاين,١٠٠٠ شهد,أونلاين,EGP 1٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/10,إعلانات عايدة,٢٦ الف عايدة,أونلاين,EGP 26٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/10,إعلانات اوفر,٦٠٠٠ اوفر,أونلاين,EGP 6٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/10,انتقالات,40 اسكوتر,مصنع,EGP 40٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/10,مستلزمات تصنع,بترون ٩٠٠ + ٢٩٠٠ج,مصنع,EGP 3٬800٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/12,سلف مصنع,1000 سلفه ام منار,مصنع,EGP 1٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/12,سلف مصنع,500 سلفه ام هاجر,مصنع,EGP 500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/12,قماش,١٠٠ الف من حساب ميلتون,مصنع,EGP 100٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/12,إعلانات عايدة,٢٦٧٠٠ عايدة,أونلاين,EGP 26٬700٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/12,إعلانات اوفر,٧٥٠٠ اوفر سايز,أونلاين,EGP 7٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/12,اكراميات,٢٠٠ مشال,مصنع,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/12,سلف مصنع,٢٠٠ رنيا سلفة,مصنع,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/13,انتقالات,٤٠ اسكوتر,مصنع,EGP 40٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/13,قماش,19000 بشار,مصنع,EGP 19٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/13,إعلانات عايدة,٢٣ عايدة اعلانات,أونلاين,EGP 23٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/13,إعلانات اوفر,٨٥٠٠ اوفر,أونلاين,EGP 8٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/13,انتقالات,٥٠ اسكوتر,مصنع,EGP 50٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/13,سلف مصنع,٢٠٠ سلفه ياسمين,مصنع,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/14,سلف مصنع,٥٠ سلفه هايدى,مصنع,EGP 50٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/14,اكراميات,٢٠٠ مشال,مصنع,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/14,انتقالات,٤٥ اسكوتر,مصنع,EGP 45٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/14,مستلزمات تصنع,١٢٥٠ استيك,مصنع,EGP 1٬250٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/14,إعلانات عايدة,٢٣ الف عايدة,أونلاين,EGP 23٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/14,إعلانات اوفر,٩ الف اوفر,أونلاين,EGP 9٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/15,مستلزمات تصنع,٩٠٠ خيط,مصنع,EGP 900٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/15,مستلزمات اونلاين,٧٠٠ شولاة و سلفان و سلوتب,أونلاين,EGP 700٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/15,مرتبات مصنع,10610 مرتبات اسبوع,مصنع,EGP 10٬610٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/15,مرتبات اونلاين,2725 مرتب رانيا,أونلاين,EGP 2٬725٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/15,مرتبات مصنع,20380 مرتبات شهر,مصنع,EGP 20٬380٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/15,انتقالات,40 اسكوتر,مصنع,EGP 40٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/15,إعلانات اوفر,١٥ الف اعلانات اوفر سايز,أونلاين,EGP 15٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/15,سلف مصنع,٢٠٠٠ سلفة محمود,مصنع,EGP 2٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/16,إعلانات عايدة,٤٠٠٠ اعلانات عايدة,أونلاين,EGP 4٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/17,إعلانات اوفر,٢٤٥٠ أوفر,أونلاين,EGP 2٬450٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/17,إعلانات عايدة,٢٧ الف اعلانات,أونلاين,EGP 27٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/18,مرتجعات,مرتجع 480,أونلاين,EGP 480٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/18,مستلزمات اونلاين,٧٨٠ فليرات,أونلاين,EGP 780٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/18,انتقالات,٥٠ اسكوتر,مصنع,EGP 50٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/18,إعلانات اوفر,١٥٣٠٠ اوفر سايز,أونلاين,EGP 15٬300٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/18,إعلانات عايدة,٤٨٠٠ عايدة,أونلاين,EGP 4٬800٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/19,مرافق اونلاين,٤٥٥ نت مكتب,أونلاين,EGP 455٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/19,قماش,٢٠ الف من حساب بشار,مصنع,EGP 20٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/19,إعلانات اوفر,١٣ الف اوفر سايز,أونلاين,EGP 13٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/19,إعلانات عايدة,١٠ الف عايدة,أونلاين,EGP 10٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/19,اكراميات,400 مشال,مصنع,EGP 400٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/19,سلف مصنع,٥٠٠ سلفه ام هاجر,مصنع,EGP 500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/19,سلف مصنع,٥٠٠ سلفه ام منار,مصنع,EGP 500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/19,اشتراكات اونلان,1300 ويب اوفر سايز,أونلاين,EGP 1٬300٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/19,مرتجعات,مرتجع 250,أونلاين,EGP 250٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/19,قماش,1220 قماش عينات,مصنع,EGP 1٬220٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/19,سلف مصنع,200 سلفه محمود,مصنع,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/20,مستلزمات تصنع,5500 كلف,مصنع,EGP 5٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/20,مستلزمات تصنع,٧٥ سوست,مصنع,EGP 75٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/21,إعلانات عايدة,١٤.٥ الف عايدة,أونلاين,EGP 14٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/21,إعلانات اوفر,١١ الف اوفر سايز,أونلاين,EGP 11٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
26/01/21,حساب ريهام,١٠ الف ريهام,مصنع,EGP 10٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
